year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,total_crime,violet_crime_rate_per_100000,number_of_registered_weapons,weapon_owned_per_100,total_cases_of_officers_assaulted,number_of_officers_employed,officer_assault_rate_per_100,officers_feloniously_killed,officer_feloniously_killed_rate_per_100
2020,ND,North Dakota,765309,2518,32,151,1939,16256,3196,10986,2074,396,37548,329.0174296,30975,4.047384782,303,1792,16.90848214,1,0.055803571
2020,OH,Ohio,11693217,36104,820,7826,22406,216363,37279,159007,20077,5052,504934,308.7601983,208661,1.784461881,391,12354,3.164966812,3,0.024283633
2020,OK,Oklahoma,3980783,18255,296,2351,13506,107705,24415,68243,15047,2102,251920,458.578124,103368,2.596675076,936,8512,10.9962406,1,0.01174812
2020,OR,Oregon,4241507,12380,125,2180,8510,112782,14386,81811,16585,1565,250324,291.8773917,97474,2.298098294,856,5569,15.37080266,0,0
2020,PA,Pennsylvania,12783254,49793,1009,10728,33828,210167,31774,162919,15474,4228,519920,389.5174108,348167,2.723617946,6,4914,0.122100122,1,0.02035002
2020,RI,Rhode Island,1057125,2440,32,336,1665,13166,1763,9894,1509,407,31212,230.8147097,4887,0.462291593,198,2485,7.967806841,0,0
2020,SC,South Carolina,5218040,27691,549,3122,21934,141987,23377,103892,14718,2086,339356,530.6781857,119205,2.284478463,836,10181,8.211374128,3,0.029466654
2020,SD,South Dakota,892717,4476,40,274,3563,17468,3036,12117,2315,599,43888,501.3906983,64666,7.243728976,566,1721,32.8878559,0,0
2020,TN,Tennessee,6886834,46328,663,5575,37412,171675,26479,124098,21098,2678,436006,672.7038869,151536,2.200372479,1994,17123,11.64515564,0,0
2020,TX,Texas,29360759,131084,1931,26834,88810,659160,108851,466033,84276,13509,1580488,446.459848,1006555,3.42823222,5359,50845,10.53987609,5,0.009833809
2020,UT,Utah,3249879,8471,102,1362,5198,80091,9444,60359,10288,1809,177124,260.6558583,118408,3.643458726,466,2601,17.91618608,1,0.038446751
2020,VT,Vermont,623347,1081,14,64,790,7586,961,6361,264,213,17334,173.4186577,9451,1.516169966,124,1151,10.77324066,0,0
2020,VA,Virginia,8590563,17925,524,2947,12175,125114,11465,102796,10853,2279,286078,208.6591996,423707,4.932237852,2183,16921,12.90112877,1,0.005909816
2020,WA,Washington,7693612,22596,301,5183,14435,210223,40167,142657,27399,2677,465638,293.6982005,165534,2.151577179,1841,10565,17.42546143,1,0.009465215
2020,WV,West Virginia,1784787,6352,117,369,5034,24976,4877,17828,2271,832,62656,355.8968101,50963,2.855410758,0,2365,0,1,0.042283298
2020,WI,Wisconsin,5832655,18861,308,3081,13452,86654,12744,64517,9393,2020,211030,323.3690318,95430,1.636133116,1146,11572,9.903214656,0,0
2020,WY,Wyoming,582328,1364,18,66,947,9379,1225,7190,964,333,21486,234.232254,142247,24.4272987,115,1203,9.559434746,0,0
